,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,no,no2,nox,o3,pm10,pm2.5,so2,data
1,2011-09-17,NA,NA,687.647.058.823.529,NA,NA,251.470.588.235.294,26.5,22,NA,NA,NA,NA,NA,11.5,35.04,52.25,NA,NA,NA,NA,2011-09-17
2,2011-09-18,NA,NA,812.083.333.333.333,NA,NA,204.416.666.666.667,23.4,17.1,NA,NA,NA,NA,NA,2.88,16.25,20.21,NA,NA,NA,NA,2011-09-18
3,2011-09-19,NA,NA,531.666.666.666.667,NA,NA,187.708.333.333.333,23.2,14.8,NA,NA,NA,NA,NA,5.33,21.62,29.33,NA,NA,NA,NA,2011-09-19
4,2011-09-20,NA,NA,610.833.333.333.333,NA,NA,203.041.666.666.667,23.8,17.3,NA,NA,NA,NA,NA,8.17,34,46.08,NA,NA,NA,NA,2011-09-20
5,2011-09-21,NA,NA,74,NA,NA,21.225,24.8,16.7,NA,NA,NA,NA,NA,16.71,44.29,69.42,NA,NA,NA,NA,2011-09-21
6,2011-09-22,NA,NA,762.916.666.666.667,NA,NA,220.333.333.333.333,25.1,18.2,NA,NA,NA,NA,NA,17.42,41.88,68.12,NA,NA,NA,NA,2011-09-22
7,2011-09-23,NA,NA,76.75,NA,NA,219.875,25.4,18,NA,NA,NA,NA,NA,20.92,42.71,74.33,NA,NA,NA,NA,2011-09-23
8,2011-09-24,NA,NA,833.333.333.333.333,NA,NA,202.333.333.333.333,22.3,17.8,NA,NA,NA,NA,NA,5.21,30.71,38.29,NA,NA,NA,NA,2011-09-24
9,2011-09-25,NA,NA,75.625,NA,NA,201.583.333.333.333,24.1,16.9,NA,NA,NA,NA,NA,3.46,22.88,27.88,NA,NA,NA,NA,2011-09-25
10,2011-09-26,NA,NA,773.333.333.333.333,NA,NA,205.958.333.333.333,24.5,16.9,NA,NA,NA,NA,NA,24.21,36.17,73.04,NA,NA,NA,NA,2011-09-26
11,2011-09-27,NA,NA,72.375,NA,NA,21.475,27.4,17,NA,NA,NA,NA,NA,43.54,44.42,110.67,NA,NA,NA,NA,2011-09-27
12,2011-09-28,NA,NA,672.083.333.333.333,NA,NA,215.791.666.666.667,26,18.6,NA,NA,NA,NA,NA,39.92,47.29,107.96,NA,NA,NA,NA,2011-09-28
13,2011-09-29,NA,NA,622.083.333.333.333,NA,NA,217.625,26.6,18,NA,NA,NA,NA,NA,19.73,50.77,80.59,NA,NA,NA,NA,2011-09-29
14,2011-09-30,NA,NA,694.166.666.666.667,NA,NA,211.208.333.333.333,24.3,17,NA,NA,NA,NA,NA,14.29,48.58,70.29,NA,NA,NA,NA,2011-09-30
15,2011-10-01,NA,NA,710.833.333.333.333,NA,NA,209.125,24.1,17.6,NA,NA,NA,NA,NA,3.83,35.33,40.67,NA,NA,NA,NA,2011-10-01
16,2011-10-02,NA,NA,681.666.666.666.667,NA,NA,208.625,24.9,16.5,NA,NA,NA,NA,NA,5.46,46.88,55,NA,NA,NA,NA,2011-10-02
17,2011-10-03,NA,NA,704.166.666.666.667,NA,NA,208.416.666.666.667,27.4,15.9,NA,1517,703847,215.529.795.537.951,NA,22,68.88,102.21,NA,NA,NA,NA,2011-10-03
18,2011-10-04,NA,NA,587.083.333.333.333,NA,NA,214.625,26.9,16.3,NA,1140,552973,206.158.347.695.095,NA,21.64,93.14,126.14,NA,NA,NA,NA,2011-10-04
19,2011-10-05,NA,NA,656.666.666.666.667,NA,NA,213.041.666.666.667,26.9,15.9,NA,1132,592742,190.976.849.961.703,NA,23.38,73.25,108.42,NA,NA,NA,NA,2011-10-05
20,2011-10-06,NA,NA,755.416.666.666.667,NA,NA,215.541.666.666.667,25,18.5,NA,1088,565865,192.272.008.341.212,NA,14.38,60.04,81.83,NA,NA,NA,NA,2011-10-06
21,2011-10-07,NA,NA,72,NA,NA,195.833.333.333.333,21.6,17.3,NA,914,479219,19.072.699.538.207,NA,10.67,51.71,67.92,NA,NA,NA,NA,2011-10-07
22,2011-10-08,NA,NA,53.5,NA,NA,17.85,21.5,14.1,NA,217,145216,149.432.569.413.839,NA,4.62,27.71,34.5,NA,NA,NA,NA,2011-10-08
23,2011-10-09,NA,NA,56.625,NA,NA,182.583.333.333.333,21.5,14.8,NA,107,71159,150.367.486.895.544,NA,6.58,32.79,42.67,NA,NA,NA,NA,2011-10-09
24,2011-10-10,NA,NA,56.125,NA,NA,216.291.666.666.667,28.2,15.1,NA,1438,691942,207.820.886.721.719,NA,36.21,71.42,126.54,NA,NA,NA,NA,2011-10-10
25,2011-10-11,NA,NA,57.125,NA,NA,215.375,28,16.2,NA,1141,559525,203.922.970.376.659,NA,55.29,83.21,167.38,NA,NA,NA,NA,2011-10-11
26,2011-10-12,NA,NA,628.333.333.333.333,NA,NA,209.458.333.333.333,27,15.8,NA,156,124508,125.293.153.853.568,NA,15.62,70.88,94.46,NA,NA,NA,NA,2011-10-12
27,2011-10-13,NA,NA,739.166.666.666.667,NA,NA,205.583.333.333.333,25,16.4,NA,1208,613826,196.798.441.252.081,NA,22.12,53.96,87.46,NA,NA,NA,NA,2011-10-13
28,2011-10-14,NA,NA,58.125,NA,NA,200.625,23.6,17.1,NA,1033,534007,193.443.157.112.173,NA,15.75,42.54,66.33,NA,NA,NA,NA,2011-10-14
29,2011-10-15,NA,NA,594.583.333.333.333,NA,NA,188.125,21.2,17,NA,243,153439,158.369.123.886.365,NA,6.38,40.96,50.46,NA,NA,NA,NA,2011-10-15
30,2011-10-16,NA,NA,60.875,NA,NA,19.125,21.6,16.4,NA,133,97024,137.079.485.488.127,NA,06.04,45.54,54.38,NA,NA,NA,NA,2011-10-16
31,2011-10-17,NA,NA,715.416.666.666.667,NA,NA,18.875,21.8,15.6,NA,1427,688283,207.327.509.178.637,NA,19.29,56.54,85.58,NA,NA,NA,NA,2011-10-17
32,2011-10-18,NA,NA,64,NA,NA,194.041.666.666.667,23.8,14.9,NA,1168,612724,1.906.241.635.712,NA,19.79,59.71,89.67,NA,NA,NA,NA,2011-10-18
33,2011-10-19,NA,NA,695.833.333.333.333,NA,NA,190.083.333.333.333,22.7,14.7,NA,923,480383,192.138.356.269.893,NA,26.83,61.29,101.96,NA,NA,NA,NA,2011-10-19
34,2011-10-20,NA,NA,60.125,NA,NA,156.791.666.666.667,18.7,13.4,NA,1049,563991,185.995.875.820.713,NA,21.33,47.75,80.04,NA,NA,NA,NA,2011-10-20
35,2011-10-21,NA,NA,577.916.666.666.667,NA,NA,149.416.666.666.667,16.5,12.6,NA,976,497717,196.095.371.466.114,NA,18.42,45.38,73.21,NA,NA,NA,NA,2011-10-21
36,2011-10-22,NA,NA,704.166.666.666.667,NA,NA,16.825,19.6,14.2,NA,211,144707,145.811.881.940.749,NA,6.88,40.92,51.25,NA,NA,NA,NA,2011-10-22
37,2011-10-23,NA,NA,792.916.666.666.667,NA,NA,165.833.333.333.333,18.8,14.6,NA,87,61648,141.123.799.636.647,NA,7.96,48.33,59.92,NA,NA,NA,NA,2011-10-23
38,2011-10-24,NA,NA,882.916.666.666.667,NA,NA,165.583.333.333.333,20.1,15.4,NA,1348,669851,201.238.782.953.224,NA,23.57,58.81,94.33,NA,NA,NA,NA,2011-10-24
39,2011-10-25,NA,NA,563.333.333.333.333,NA,NA,167.625,20,13.8,NA,1080,543482,198.718.632.815.806,NA,15.21,35.54,58.25,NA,NA,NA,NA,2011-10-25
40,2011-10-26,NA,NA,52.25,NA,NA,157.333.333.333.333,20.1,11.2,NA,1064,572137,185.969.444.381.328,NA,37.33,57.5,114.33,NA,NA,NA,NA,2011-10-26
41,2011-10-27,NA,NA,812.083.333.333.333,NA,NA,172.791.666.666.667,20.7,15,NA,894,499889,178.839.702.413.936,NA,32.83,60.33,110.25,NA,NA,NA,NA,2011-10-27
42,2011-10-28,NA,NA,862.916.666.666.667,NA,NA,170.833.333.333.333,19.1,15.3,NA,834,447345,186.433.289.742.816,NA,24.17,43.25,79.88,NA,NA,NA,NA,2011-10-28
43,2011-10-29,NA,NA,80.875,NA,NA,180.458.333.333.333,20.8,16,NA,242,150717,16.056.582.867.228,NA,04.08,23.67,29.83,NA,NA,NA,NA,2011-10-29
44,2011-10-30,NA,NA,783.333.333.333.333,NA,NA,171.458.333.333.333,21.5,14.5,NA,157,98177,159.915.255.100.482,NA,7.96,25.54,37.54,NA,NA,NA,NA,2011-10-30
45,2011-10-31,NA,NA,82.5,NA,NA,166.625,19.9,13,NA,943,454778,207.353.917.735.686,NA,25.62,42.96,81.62,NA,NA,NA,NA,2011-10-31
46,2011-11-01,NA,NA,85.25,NA,NA,18.175,21,15.3,NA,128,94454,135.515.700.764.393,NA,34.75,45.92,98.75,NA,NA,NA,NA,2011-11-01
47,2011-11-02,NA,NA,840.416.666.666.667,NA,NA,19.025,21.3,16.8,NA,1290,668601,192.940.184.055.962,NA,17.17,45.42,71.42,NA,NA,NA,NA,2011-11-02
48,2011-11-03,NA,NA,827.916.666.666.667,NA,NA,196.291.666.666.667,21,18.2,NA,1014,554732,182.790.969.332.939,NA,7.71,31.75,43.21,NA,NA,NA,NA,2011-11-03
49,2011-11-04,NA,NA,876.666.666.666.667,NA,NA,16.475,17.9,15.3,NA,761,410428,185.416.199.674.486,NA,22.08,40.75,74.17,NA,NA,NA,NA,2011-11-04
50,2011-11-05,NA,NA,805.416.666.666.667,NA,NA,155.791.666.666.667,18.1,12.8,NA,221,147266,150.068.583.379.735,NA,10.38,32.58,48.12,NA,NA,NA,NA,2011-11-05
51,2011-11-06,NA,NA,845.416.666.666.667,NA,NA,137.166.666.666.667,16.4,12.1,NA,80,58231,137.383.867.699.335,NA,7.33,23.71,34.58,NA,NA,NA,NA,2011-11-06
52,2011-11-07,NA,NA,71.25,NA,NA,156.041.666.666.667,19.1,13,NA,1306,689123,189.516.240.206.756,NA,32.21,51.12,100,NA,NA,NA,NA,2011-11-07
53,2011-11-08,NA,NA,747.916.666.666.667,NA,NA,153.125,18.9,13,NA,1063,569310,186.717.254.220.021,NA,15.12,33.5,56.33,NA,NA,NA,NA,2011-11-08
54,2011-11-09,NA,NA,810.833.333.333.333,NA,NA,147.125,19,11.4,NA,956,513068,186.330.077.104.789,NA,48.62,56.42,130.33,NA,NA,NA,NA,2011-11-09
55,2011-11-10,NA,NA,782.916.666.666.667,NA,NA,15.35,19.1,12.1,NA,943,503108,187.434.904.632.803,NA,46.71,62.33,133.29,NA,NA,NA,NA,2011-11-10
56,2011-11-11,NA,NA,86.375,NA,NA,15.6,19.4,12,NA,825,453083,18.208.584.299.124,NA,55.79,60.54,145.38,NA,NA,NA,NA,2011-11-11
57,2011-11-12,NA,NA,86.875,NA,NA,165.916.666.666.667,19.6,14.7,NA,200,134662,14.851.999.821.776,NA,29.79,46.17,91.46,NA,NA,NA,NA,2011-11-12
58,2011-11-13,NA,NA,855.416.666.666.667,NA,NA,158.125,17.8,14.6,NA,114,74944,152.113.578.138.343,NA,8.58,29.96,42.67,NA,NA,NA,NA,2011-11-13
59,2011-11-14,NA,NA,857.083.333.333.333,NA,NA,147.458.333.333.333,16.9,13.8,NA,1342,700081,191.692.104.199.371,NA,19.88,50.92,80.79,NA,NA,NA,NA,2011-11-14
60,2011-11-15,NA,NA,874.166.666.666.667,NA,NA,15.375,17,14.6,NA,773,438859,176.138.577.538.572,NA,4.17,27.83,33.71,NA,NA,NA,NA,2011-11-15
61,2011-11-16,NA,NA,822.916.666.666.667,NA,NA,148.666.666.666.667,15.8,13.5,NA,791,417682,189.378.522.416.575,NA,18.21,49,76.38,NA,NA,NA,NA,2011-11-16
62,2011-11-17,NA,NA,77.625,NA,NA,14.875,17,12.8,NA,960,510763,187.954.100.042.485,NA,17.79,42.71,69.54,NA,NA,NA,NA,2011-11-17
63,2011-11-18,NA,NA,89,NA,NA,133.041.666.666.667,15.8,11.9,NA,894,430648,207.594.137.207.185,NA,49.54,50.04,125.5,NA,NA,NA,NA,2011-11-18
64,2011-11-19,NA,NA,827.916.666.666.667,NA,NA,138.625,16.1,11.2,NA,182,115720,157.276.183.892.153,NA,26.04,40.46,79.83,NA,NA,NA,NA,2011-11-19
65,2011-11-20,NA,NA,843.333.333.333.333,NA,NA,160.791.666.666.667,18.2,13.6,NA,122,76372,159.744.408.945.687,NA,4.75,28.38,35.25,NA,NA,NA,NA,2011-11-20
